id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,,Img
,Paladin,"[[""Paladin""],[""Oath against the Wyrm""]]",Paladin (Oath against the Wyrm),Oath against the Wyrm,<id-00028,20,Dragon-Slaying Strike,"<p>At 20th level, an oathbound paladin becomes a conduit of holy power. Her DR increases to 10/evil. Whenever she uses smite evil and successfully strikes a dragon, the dragon is also subject to a single-target holy word, using her paladin level +10 as the caster level. After the banishment effect and the damage from the attack are resolved, the smite immediately ends. In addition, whenever she channels positive energy or uses lay on hands to heal a creature, she heals the maximum possible amount. This ability replaces holy champion.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Silver Champion""]]",Paladin (Silver Champion),Silver Champion,<id-00023,5,Drake Mount,"<p>At 5th level, a silver champion gains a drake companion. If the drake companion is at least one size larger than the silver champion, it gains the mount drake power as a bonus power. However, a silver champion doesn't gain additional uses per day of smite evil at 4th, 10th, and 16th levels, and doesn't gain mercies at 6th, 12th, and 18th levels.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Combat Healer Squire""]]",Paladin (Combat Healer Squire),Combat Healer Squire,<id-00011,2,Dress Wounds,"<p>At 2nd level, a combat healer squire can hastily dress a deadly wound for her knight, temporary alleviating his suffering. This ability acts in all ways like using the Heal skill to treat deadly wounds, except the combat healer squire only needs to take a fullround action to use this ability. The hit points healed are temporary, and only last 10 minutes, but they are not lost first like temporary hit points. A combat healer squire can only use this ability on her knight, not other creatures. A knight cannot benefit from this ability more than once per day, and cannot be treated for deadly wounds with the Heal skill within 24 hours of being subjected to this ability. This ability replaces divine grace.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Stonelord""]]",Paladin (Stonelord),Stonelord,<id-00021,4,Earth Channel,"<p>At 4th level, a stonelord gains Elemental Channel (earth) as a bonus feat, which she may activate by spending two uses of her lay on hands ability, using her paladin level as her effective cleric level. This ability replaces channel positive energy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Scion of Talmandor""]]",Paladin (Scion of Talmandor),Scion of Talmandor,<id-00011,2,Egalitarian,"<p>At 2nd level, once per day as a swift action, a scion of Talmandor can halve her bonus on saving throws from divine grace (minimum +1) to grant the resulting bonus to herself and to all allies within 30 feet. This shared bonus lasts for a number of rounds equal to the scion's Charisma modifier, after which her divine grace is suppressed for 1 hour before returning to normal.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Chosen One""]]",Paladin (Chosen One),Chosen One,<id-00035,11,Emissary's Smite,"<p>At 11th level, a chosen one's familiar also benefits from the paladin's smite evil ability whenever the chosen one uses smite evil.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Empyreal Knight""]]",Paladin (Empyreal Knight),Empyreal Knight,<id-00028,20,Empyreal Champion,"<p>At 20th level, an empyreal knight transcends her mortal self. Her DR increases to 10/evil. Her type is treated as outsider for the purposes of spells and magical effects. She gains darkvision 60 feet and low-light vision. As a standard action and a supernatural ability, she can sprout wings that allow her to fly at twice her land speed with average maneuverability. Any armor or clothing reshapes to allow her to fly when she uses this ability. She can retract the wings as a free action. Unlike other outsiders, an empyreal knight can still be brought back from the dead as if she were a member of her previous creature type. This ability replaces holy champion.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Gray Paladin""]]",Paladin (Gray Paladin),Gray Paladin,<id-00014,3,Enhanced Health,"<p>At 3rd level, a gray paladin is far less a stranger to poisons than a normal paladin. She gains a +4 sacred bonus on all saving throws against poisons and diseases.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Chaos Knight""]]",Paladin (Chaos Knight),Chaos Knight,<id-00012,2,Entropic Touch,"<p>At 2nd level, a chaos knight can employ the forces of entropy with a touch to shatter a mind-affecting spell or effect currently affecting an ally. As a standard action, he can touch a creature to grant that creature a new saving throw against one mind-affecting effect, with a bonus on the save equal to one-third the chaos knight's level (minimum +0). If the chaos knight targets himself, he can use this ability as a swift action. A chaos knight can use this ability a number of times per day equal to half his paladin level + his Charisma modifier.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Ghost Hunter""]]",Paladin (Ghost Hunter),Ghost Hunter,<id-00016,6,Exorcise Possession,"<p>At 6th level, a ghost hunter can try to end any possession spells or effects, or effects that directly exercise mental control over a creature. She must touch the affected creature (this requires a melee touch attack if the target is neither willing nor helpless) and expend a use of her lay on hands ability. The target can immediately attempt a Will save against the original save DC of the controlling effect. If the save is successful, the effect immediately ends, as if the target had succeeded at its original saving throw. This ability replaces the 6th-level mercy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Knight of Coins""]]",Paladin (Knight of Coins),Knight of Coins,<id-00003,1,Eye for Forgeries,"<p>At will, a knight of coins can concentrate on a single item within 30 feet as a move action. When she does, the knight of coins can detect if it is magical, as per the spell detect magic. The knight of coins cannot concentrate on more than one item in this way at a time.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Vindictive Bastard""]]",Paladin (Vindictive Bastard),Vindictive Bastard,<id-00011,2,Faded Grace,"<p>At 2nd level, a vindictive bastard gains one of the following as a bonus feat: Great Fortitude, Iron Will, or Lightning Reflexes.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Forest Preserver""]]",Paladin (Forest Preserver),Forest Preserver,<id-00013,3,Favored Terrain,"<p>At 3rd level, a forest preserver gains the ranger's favored terrain ability but must select either forest or jungle as her favored terrain. The bonuses granted by this ability increase by 2 for every 5 levels after 3rd, but she does not gain additional favored terrains.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Guide""]]",Paladin (Holy Guide),Holy Guide,<id-00015,3,Favored Terrain,"<p>At 3rd level, a holy guide chooses a favored terrain from the ranger favored terrains table. This otherwise functions like the ranger ability of the same name. This ability replaces the mercy gained at 3rd level. Every time a holy guide would be able to select another mercy, he can instead select another favored terrain and increase his bonuses for one existing favored terrain, just like a ranger.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Wilderness Warden""]]",Paladin (Wilderness Warden),Wilderness Warden,<id-00015,3,Favored Terrain,"<p>At 3rd level, a wilderness warden selects a favored terrain, as per the ranger class feature. Every 6 levels after 3rd, she selects an additional favored terrain; each time she does so, the bonuses she gains in her previous favored terrain or terrains increase by 2.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Forest Preserver""]]",Paladin (Forest Preserver),Forest Preserver,<id-00024,8,Fireproof Aura,"<p>At 8th level, a forest preserver and creatures within 10 feet of her gain a +2 bonus on saving throws against fire effects and gain fire resistance 5; these are doubled for plant allies, which also gain evasion against fire effects only. Whenever a fire spell would affect a creature within the fireproof aura, the forest preserver can expend three uses of her lay on hands ability as an immediate action to attempt to counter the effect, as if she had readied a dispel magic spell (caster level = her paladin level) to counterspell. This ability functions only if the forest preserver is conscious.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Sword of Valor""]]",Paladin (Sword of Valor),Sword of Valor,<id-00011,2,First Into Battle,"<p>At 2nd level, a sword of valor can spend 1 use of smite evil or lay on hands to act in the surprise round, even if she is surprised. When the paladin makes an Initiative check, she gains a bonus to the check equal to her Charisma bonus. This ability replaces divine grace.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Champion of the Cascade""]]",Paladin (Champion of the Cascade),Champion of the Cascade,<id-00015,3,Flowing Stride,"<p>At 3rd level, whenever a champion of the cascade uses lay on hands to restore hit points to one target, she can grant a willing target the ability to walk on water as water walk for 1 minute. At 9th level, this extends to creatures healed by her channel positive energy. At 15th level, healed creatures can walk on water for 24 hours.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Forgefather's Seeker""]]",Paladin (Forgefather's Seeker),Forgefather's Seeker,<id-00028,20,Forgefather's Champion,"<p>At 20th level, a Forgefather's seeker becomes capable of completely dismantling constructs. Her DR increases to 10/evil. Whenever she uses smite construct and hits a construct, she can immediately attempt to destroy the construct. The construct is reduced to 0 hit points and destroyed unless it succeeds at a Will save (DC = 10 + half the Forgefather's seeker's level + the Forgefather's seeker's Charisma modifier). After this destruction effect and the damage from the attack is resolved, the smite immediately ends. In addition, whenever a Forgefather's seeker channels positive energy or uses lay on hands to heal a creature, she heals the maximum possible amount.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Vindictive Bastard""]]",Paladin (Vindictive Bastard),Vindictive Bastard,<id-00023,5,Gang Up,"<p>At 5th level, a vindictive bastard forms a close bond with her companions. This allows her to spend a move action to grant half her vindictive smite bonus against a single target to all allies within 30 feet who can see and hear her. This bonus lasts for a number of rounds equal to the vindictive bastard's Charisma modifier (minimum 1).</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Undeath""]]",Paladin (Oath against Undeath),Oath against Undeath,<id-00015,3,Ghost Touch Aura,"<p>At 3rd level, the paladin's armor is treated as if it had the ghost touch armor property. This does not affect the cost or effect of any other abilities of the armor. At 9th level, this ability also applies to the paladin's shield. This ability replaces the paladin's 3rd-level and 9th-level mercies.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Ghost Hunter""]]",Paladin (Ghost Hunter),Ghost Hunter,<id-00029,1,Ghostly Smite,"<p>A ghost hunter's smite evil ability does not automatically bypass DR (other than DR/good). However, she treats her weapon as a ghost touch weapon against the target of her smite. She does not deal extra damage on the first attack against evil outsiders and evil dragons, but she deals 3 points of damage per paladin level she possesses to undead creatures on the first attack (instead of 2 points). This ability alters smite evil.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Soul Sentinel""]]",Paladin (Soul Sentinel),Soul Sentinel,<id-00018,12,Greater Reprieve,"<p>The soul sentinel suppresses the stain of corruption on the spirits of those she heals. At 12th level, whenever she uses her lay on hands ability to heal a living creature (other than herself ) or damage an undead creature, in place of applying one of her other mercies, she can suppress the stain from a corrupted creature's most recent manifestation for 1 minute (for more information about corruption and manifestations, see page 14). Any gift from that manifestation is unaffected and remains available, unless the manifestation has a special note requiring the gift and stain be taken together, in which case greater reprieve also suppresses the gift.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Divine Guardian""]]",Paladin (Divine Guardian),Divine Guardian,<id-00029,2,Guarding Hands,"<p>The paladin can use lay on hands to heal herself or her divine troth as a move action, but cannot use lay on hands to heal herself as a swift action. The divine guardian cannot use lay on hands more than once per round. This modifies lay on hands.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Tactician""]]",Paladin (Holy Tactician),Holy Tactician,<id-00024,8,Guide the Battle,"<p>At 8th level, the paladin can direct her allies into an advantageous position once per round as a move action. Each ally (if physically able to) can move 5 feet without expending an action. This movement does not provoke attacks of opportunity. The allies must be able to see or hear the paladin in order to make this movement and cannot be flat-footed. At 15th level, her allies can make this 5-foot move and ignore difficult terrain. This ability replaces aura of resolve.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Gun""]]",Paladin (Holy Gun),Holy Gun,<id-00030,14,Gunslinger Deed,"<p>At 14th level, and every three levels beyond 14th, the holy gun gains another point of grit and another gunslinger deed that a gunslinger of her level -4 could use. If she already has levels in gunslinger, she gains a bonus to the maximum amount of grit she can have each day, equal to her Charisma bonus (if any) but gains no extra grit as the start of each day.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Gun""]]",Paladin (Holy Gun),Holy Gun,<id-00003,1,Have Gun,"<p>At 1st level, the holy gun gains the Amateur Gunslinger feat and Gunsmithing as a bonus feat. She also gains a battered gun identical to the one gained by the gunslinger. This ability replaces detect evil.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Stonelord""]]",Paladin (Stonelord),Stonelord,<id-00011,2,Heartstone,"<p>At 2nd level, a paladin gains a bonus equal to her Charisma bonus (if any) on all saving throws.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Faithful Wanderer""]]",Paladin (Faithful Wanderer),Faithful Wanderer,<id-00002,1,Hidden Aura,"<p>A faithful wanderer doesn't have an aura of good like other paladins do, as this would give her presence away to hostile denizens of the Abyssal wastelands. Her other auras likewise don't reveal her presence. The benefits of her aura of courage, aura of resolve, aura of faith, and aura of righteousness affect only her. At 3rd level, her alignment aura emulates the alignment planar traits (Pathfinder RPG GameMastery Guide 187) of her current location (chaotic evil in the Worldwound or the Abyss) for the purposes of alignment-detection effects, though this doesn't change her actual alignment. At 8th level, she takes no penalties from the mildly chaos-aligned and mildly evil-aligned planar traits and treats all opposed strongly aligned planar traits as if they were only mildly aligned. At 11th level, she takes no penalties even in areas with strongly chaos- and evil-aligned planar traits. At 14th level, she leaves no trail in areas with chaos- and evil-aligned planar traits, can't be tracked in such terrain, and can use Stealth to hide in such terrain, even if the terrain doesn't grant cover or concealment. At 17th level, she can use Stealth to hide in areas with these planar traits even while being observed.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Invigorator""]]",Paladin (Invigorator),Invigorator,<id-00025,11,Holy Fount,"<p>At 11th level, an invigorator can expend two uses of bestow hope to radiate healing energies to bolster her nearby allies. For a number of rounds equal to 1/2 the invigorator's paladin level, the invigorator and all nonevil allies within a 10-foot radius of her gain fast healing 10. This ability is an aura centered on the invigorator; allies must be within the aura at the beginning of their turns to benefit from the fast healing. Using this ability is a free action.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Gun""]]",Paladin (Holy Gun),Holy Gun,<id-00029,11,Holy Grit,"<p>At 11th level, a holy gun gains a number of grit points equal to her Charisma modifier (minimum 1) and gains the use of a single gunslinger deed. She can select any deed that a gunslinger of her paladin level -4 could use. At 14th level, and every three levels beyond 14th, the holy gun gains another point of grit and another gunslinger deed that a gunslinger of her level -4 could use. If she already has levels in gunslinger, she gains a bonus to the maximum amount of grit she can have each day, equal to her Charisma bonus (if any) but gains no extra grit as the start of each day.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Savagery""]]",Paladin (Oath against Savagery),Oath against Savagery,<id-00011,2,Holy Reach,"<p>At 2nd level, an oathbound paladin can expend one use of her smite evil ability to extend her natural reach by 5 feet for 1 minute. This does not stack with the Lunge feat. This ability replaces divine grace.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Sacred Shield""]]",Paladin (Sacred Shield),Sacred Shield,<id-00021,4,Holy Shield,"<p>At 4th level, a sacred shield can channel her faith into her shield, protecting any nearby allies. All allies adjacent to the paladin gain a shield bonus equal to the sacred shield's own shield bonus, including any increase from the shield's enhancement bonus. This bonus does not stack with any existing shield bonuses. The paladin herself radiates light as a light spell while the shielding is active. At 11th level, this protection expands to cover any allies within 10 feet and the radiance increases to the effects of a daylight spell. At 20th level, any allies within 20 feet are protected. Using this ability consumes two uses of the sacred shield's lay on hands ability, and the effects last for 3 rounds plus a number of rounds equal to her Charisma bonus (if any). This ability replaces channel positive energy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Gun""]]",Paladin (Holy Gun),Holy Gun,<id-00028,20,Holy Slinger,"<p>This ability function like the holy champion paladin class feature, but the banishment occurs when she hits an evil outsider with the smiting shot deed.</p><p>At 20th level, a paladin becomes a conduit for the power of her god. Her DR increases to 10/evil. Whenever she uses smite evil and successfully strikes an evil outsider, the outsider is also subject to a banishment, using her paladin level as the caster level (her weapon and holy symbol automatically count as objects that the subject hates). After the banishment effect and the damage from the attack is resolved, the smite immediately ends. In addition, whenever she channels positive energy or uses lay on hands to heal a creature, she heals the maximum possible amount.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Fiends""]]",Paladin (Oath against Fiends),Oath against Fiends,<id-00017,9,Holy Vessel,"<p>At 9th level, a paladin whose divine bond is with a weapon can also use her divine bond to augment her armor or shield with enhancement bonuses, or add any of the following armor or shield properties: bashing, fortification, and spell resistance. Adding these properties consumes an amount of bonus equal to the property's cost (see the armor special abilities and shield special abilities tables). She can divide her bonuses from the divine bond ability among her weapon, armor, and shield as she sees fit. This ability has no effect for a paladin whose divine bond is with a mount. This ability replaces the mercy gained at 9th level.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Savagery""]]",Paladin (Oath against Savagery),Oath against Savagery,<id-00025,11,Hordebreaker,"<p>At 11th level, when the paladin hits an evil humanoid with an attack of opportunity, she deals an additional 1d6 points of damage. When using holy reach, the paladin may make a number of additional attacks of opportunity per round equal to her Charisma bonus. This increase stacks with similar increases from other sources such as Combat Reflexes. This ability replaces aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Hunting Paladin""]]",Paladin (Hunting Paladin),Hunting Paladin,<id-00010,1,Hunt Evil,"<p>Once per day, a hunting paladin can designate a single evil creature within her sight or one that she has determined to be evil by declaring it the target of her hunt and following its tracks; this allows her to add her Charisma modifier as a bonus on Survival checks to follow that creature's tracks and on Perception and Stealth checks opposed by the target of her hunt. She can sense her target's presence and location, which lets her pinpoint her target's location when within 10 feet; if the target has concealment, she can roll twice and use the better result on rolls to determine whether she misses due to the concealment. She gains uncanny dodge as per the barbarian class feature against her target.</p><p>If the hunting paladin targets a nonevil creature with hunt evil, the ability fails and it is wasted. This ability ends after 24 hours (unless she spends the next day's use of this ability to continue hunting the same target), after the hunting paladin or the target is killed or when she designates a new target for her hunt.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Divine Hunter""]]",Paladin (Divine Hunter),Divine Hunter,<id-00025,11,Hunter's Blessing,"<p>At 11th level, a divine hunter can expend a use of her smite evil ability as a swift action to grant herself and all allies within 10 feet the Deadly Aim, Precise Shot, and Improved Precise Shot feats, even if they lack the prerequisites. The effects last for 1 minute. Evil creatures gain no benefit from this ability. This ability replaces aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Dusk Knight""]]",Paladin (Dusk Knight),Dusk Knight,<id-00021,4,Illuminating Zeal,"<p>At 4th level, a dusk knight gains the ability to grant darkvision to her allies. As a standard action, the dusk knight grants one target touched darkvision with a range of 60 feet for 1 hour. If the target already has darkvision, the range increases by 60 feet instead. If the dusk knight targets herself, using this ability is a swift action. Using this ability consumes two uses of her lay on hands ability.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Sacred Shield""]]",Paladin (Sacred Shield),Sacred Shield,<id-00025,11,Improved Bastion,"<p>At 11th level, the radius of a sacred shield's bastion of good ability increases to 20 feet. This ability replaces the paladin's aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Iroran Paladin""]]",Paladin (Iroran Paladin),Iroran Paladin,<id-00021,4,Ki Pool,"<p>At 4th level, an Iroran paladin gains a ki pool with an effective monk level equal to his class level. The number of points in an Iroran paladin's ki pool is equal to 1/2 his class level + his Charisma modifier. By spending 1 point from his ki pool, he can ignore any damage reduction possessed by the target of his personal trial ability for 1 round. This ability otherwise functions as the monk ability of the same name and replaces channel positive energy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Shining Knight""]]",Paladin (Shining Knight),Shining Knight,<id-00025,11,Knight's Charge,"<p>At 11th level, whenever a mounted shining knight charges a foe, her movement does not provoke attacks of opportunity, for either her or her mount. In addition, if her target is also the target of her smite evil ability and the charge attack hits, the target must make a Will save or be panicked for a number of rounds equal to 1/2 the shining knight's level. The DC of this save is equal to 10 + 1/2 the shining knight's level + the shining knight's Charisma modifier. This ability replaces aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Tortured Crusader""]]",Paladin (Tortured Crusader),Tortured Crusader,<id-00025,11,Last Stand,"<p>At 11th level, a tortured crusader can spend an additional use of smite evil when declaring a smite to make it a last stand. The duration of last stand's benefits is only 1 minute (rather than 24 hours). However, the bonus damage from smite evil is doubled on every attack (this doesn't stack with the doubling if the smite's target is an evil outsider, undead, or evil dragon).</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Chosen One""]]",Paladin (Chosen One),Chosen One,<id-00033,2,Lay on Paws,"<p>At 2nd level, a chosen one's familiar is able to borrow some of her divine energy to heal itself and others. The familiar can use the chosen one's lay on hands ability, including all of her mercies, but each such use consumes two uses of the paladin's lay on hands ability. Starting at 4th level, the familiar can also channel positive energy, but each such use consumes four uses of the paladin's lay on hands ability. This ability alters lay on hands and channel positive energy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Vindictive Bastard""]]",Paladin (Vindictive Bastard),Vindictive Bastard,<id-00003,1,Locate Ally,"<p>Once per day, a vindictive bastard can cast locate creature as a spell-like ability with a caster level equal to her paladin level, but she can do so only to target an ally whom she has spent at least 24 hours in close proximity to within the last week.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath of Loyalty""]]",Paladin (Oath of Loyalty),Oath of Loyalty,<id-00007,8,Loyal Guardian,"<p>At 8th level, whenever the target of the paladin's loyal oath is hit with a melee or ranged attack, if the paladin is adjacent to the target, she can spend an immediate action to have the attack automatically hit her instead of the intended target. This ends the loyal oath.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath of Loyalty""]]",Paladin (Oath of Loyalty),Oath of Loyalty,<id-00004,1,Loyal Oath,"<p>Starting at 1st level, once per day as a swift action, an oathbound paladin can choose a willing creature within line of sight as the target of her loyal oath. When the paladin is adjacent to the target of her loyal oath, she grants the target a sacred bonus on saving throws and to Armor Class equal to the paladin's Charisma bonus. The loyal oath lasts 1 minute, or until the paladin dismisses it (a free action) or discharges it (see below), whichever comes first.</p><p>If the target is struck by an enemy and the paladin is adjacent to that enemy, as an immediate action she may make a single melee attack against that enemy; making this attack ends the loyal oath. At 4th level and every three levels thereafter, the paladin may use her loyal oath one additional time per day. This ability replaces smite evil.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Divine Guardian""]]",Paladin (Divine Guardian),Divine Guardian,<id-00022,1,Martial Focus,"<p>The divine guardian devotes herself to the concerns of the material world, eschewing some divine studies. She does not gain access to divine spellcasting and cannot use spell-completion magic items.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Martyr""]]",Paladin (Martyr),Martyr,<id-00007,3,Martyr's Mercy,"<p>At 3rd level, a martyr can apply any of the mercies for which he qualifies based on his paladin level to his lay on hands, even if he didn't select that mercy (or its prerequisites). However, when he uses a mercy he didn't select, he transfers the condition to himself for the remaining duration (ignoring any immunity he might have to the condition), and he can't use this ability if he already has that condition. If he transfers a condition to himself in this way, he can't remove it from himself with a personalonly ability. The martyr can use lay on hands on any ally within 30 feet, rather than needing to touch the ally, but using lay on hands on himself is a standard action, not a swift action.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Tactician""]]",Paladin (Holy Tactician),Holy Tactician,<id-00028,20,Masterful Presence,"<p>At 20th level, a tactician gains the ability to grant a different bonus feat to each ally affected by her battlefield presence. In addition, all critical threats made by her and her allies against creatures affected by her weal's champion ability are automatically confirmed (no confirmation roll is needed). This ability replaces holy champion.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath of the Skyseeker""]]",Paladin (Oath of the Skyseeker),Oath of the Skyseeker,<id-00025,11,Mercy for the Lost,"<p>At 11th level, the paladin can use the Sky Citadels as a beacon leading her on the path to her deity. If she is on the Material Plane, the paladin can use find the path once per day at her paladin level, but only to find her way to a known Sky Citadel. If she is not on the Material Plane, she can instead use this ability to use plane shift as per the spell to travel to a known Sky Citadel. If she is in a Sky Citadel, she can expend her daily use of this ability to use plane shift to travel to the realm of her deity.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Mind Sword""]]",Paladin (Mind Sword),Mind Sword,<id-00012,2,Mind Arsenal,"<p>At 2nd level, a mind sword can make a telekinetic attack with a melee weapon. This functions as the hand of the apprentice universalist wizard school ability, but any calculations of that ability based on Intelligence are instead based on Charisma. At 6th level, a mind sword can expend two uses of this ability as a fullround action to attack the same opponent multiple times, as if using the full-attack action. At 12th level, a mind sword can expend one use of this ability as a full-round action to combine melee attacks and ranged attacks aimed at different targets within 60 feet as part of a single full-attack action. This ability replaces lay on hands.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Stonelord""]]",Paladin (Stonelord),Stonelord,<id-00020,18,Mobile Defense,"<p>At 18th level, a stonelord can make one 5-foot step per round while maintaining her defensive stance. This ability replaces her 18th-level mercy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Wilderness Warden""]]",Paladin (Wilderness Warden),Wilderness Warden,<id-00011,2,Natural Defense,"<p>At 2nd level, once per day, a wilderness warden can grant herself energy resistance 10 to cold, electricity, or fire and a +2 insight bonus to her CMD for a number of minutes equal to her paladin level. The energy resistance increases by 5 and the CMD bonus increases by 1 at 5th level and every 5 levels thereafter.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Wilderness Warden""]]",Paladin (Wilderness Warden),Wilderness Warden,<id-00025,11,Natural Shield,"<p>At 11th level, a wilderness warden can expend two daily uses of her natural defense ability to grant the benefits of that ability to all nonevil allies within 10 feet for 1 minute.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Virtuoso Bravo""]]",Paladin (Virtuoso Bravo),Virtuoso Bravo,<id-00015,3,Nimble,"<p>At 3rd level, a virtuous bravo gains a +1 dodge bonus to AC while wearing light armor or no armor. Anything that causes the virtuous bravo to lose her Dexterity bonus to AC also causes her to lose this dodge bonus. This bonus increases by 1 for every 4 paladin levels beyond 3rd (to a maximum of +5 at 19th level).</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Vindictive Bastard""]]",Paladin (Vindictive Bastard),Vindictive Bastard,<id-00002,1,No Aura,<p>A vindictive bastard does not radiate an alignment aura.</p>,,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath of the Skyseeker""]]",Paladin (Oath of the Skyseeker),Oath of the Skyseeker,<id-00030,4,Oath Spells,<p>1st-enlarge person; 2nd-find traps; 3rd-spiritual allyAPG; 4th- blessing of fervorAPG.</p>,,systems/pf1/icons/spells/protect-sky-3.jpg
